industry-coal,industry-natural_gas,industry-oil,other-oil,transport-natural_gas,transport-oil
3885.92,1590.55,1011.78,1136.01,252.62,6060.25
3832.18,1536.96,1043.48,1187.73,249.98,6249.63
3545.89,1494.36,865.2,1058.76,212.23,5445.19
3074.21,1465.63,909.42,1044.22,140.67,5657.75
3614.05,1631.77,1020.36,1161.27,265.03,6445.38
3529.89,1579.17,901.5,1045.59,211.2,5683.56
3588.93,1652.53,875.01,1026.25,205.9,5361.53
3558.46,1626.98,860.79,1015.83,208.89,5387.74
3595.92,1601.67,803.11,973.51,181.44,4887.22
3725.42,1564.6,807.21,956.09,172.46,4799.57
3611.05,1452.62,793.26,964.41,177.34,4865.67
2902.65,1547.99,926.48,1035.95,194.6,5397.63
3195.18,1557.38,1024.77,1129.44,203.77,6128.67
3633.83,1576.14,1139.22,1237.23,215.13,6816.78
